score,node_distribution_unreversed,node_distribution,node_distribution_raw,distance_to_borderlines_unreversed,distance_to_borderlines,distance_to_borderlines_raw,edge_length_sum,edge_length_sum_raw,edge_node_distance_contribution_unreversed,edge_node_distance_contribution,edge_node_distance_contribution_raw,count_edge_crossings,count_edge_crossings_raw,communities_closeness,sum_of_angles,symmetry,category
6,6.85044126324388,46.88852325534616,19.267404447123546,20.0,30.778,15.546,2.631074632584831,3.4074870412724065,8.967685054799134,137.64340714000076,46.20081557032084,0,0,6.85044126324388,2.0191182738062627,0.9576113858141807,ER
3,2.6634615083710362,1597.9368418491865,74.52449164066327,20.0,12.143,13.135,0.5853252981151582,1.7699464725491234,3.016243802411237,41148.54761800192,407.2473097374466,9,3,2.6634615083710367,1.8526018569079952,0.9976515064001592,ER
2,4.41410978659542,1202.5247865381766,54.74516630647203,20.0,28.524,14.791,1.525712195412209,2.5777309148564833,5.137034213264056,6085.026659700201,198.7445245553882,0,0,4.41410978659542,1.8938510435578904,0.9653150008786939,ER
1,4.923975915484218,973.9478735446374,49.027552029965,20.0,11.575,12.092,1.7801604951902035,3.107108616237383,5.29716476313684,3944.80091640269,168.12832079022638,1,1,4.923975915484217,1.6249171208758668,0.9939113083418725,ER
4,3.0862279242482433,421.67774828313395,49.95212056864159,20.0,13.131,13.58,1.0272594551314334,2.3220914064759306,3.2254584196688603,3209.6634486099942,177.15490151900326,4,2,3.0862279242482433,1.7866237440633292,0.9935922341451097,ER
6,13.387064339509912,7.075099002625125,8.092809853983526,20.0,36.333,17.091,14.55910543472403,11.179570026669388,27.721644898096162,42.61645104951801,30.230606023467903,9,3,13.387064339509912,4.786981730141173,0.955226286775302,ER
3,6.1741941408151835,109.48863525066221,25.41494212668327,20.0,28.391,16.251,3.8499432336924206,5.216458463895827,11.27165735864132,5258.088897730394,178.09085026662535,4,2,6.174194140815184,4.037250166455836,0.9827469454258048,ER
4,4.229436414738947,85.20895037471254,27.379248929685083,20.0,36.923,18.786,1.9643061878506656,3.8981737057330195,7.769359656401801,869.6884653059338,124.59472517522507,9,3,4.229436414738947,4.589975200244144,0.9830728999038287,ER
2,6.00600452884896,43.687483707076,19.37385364299754,20.0,30.973,17.31,3.729204898249508,5.383021406357983,11.085165827243088,813.4880090231411,98.04749316937351,9,3,6.00600452884896,4.520096501417182,0.966681124879316,ER
1,5.6017404615779895,40.74938487118556,19.428758548117983,20.0,13.531,13.144,3.168459542006185,5.1074497971303225,10.928329557509354,4024.1634565617073,131.25872548592056,9,3,5.6017404615779895,4.856532228440281,0.9831743914171787,ER
5,5.366882661189843,75.37155491760983,23.80904787831507,20.0,24.986,15.048,2.6014421726737775,4.494437863759612,10.266743866902122,517.2516653944374,98.724596834274,1,1,5.366882661189842,4.8060931594633765,0.9897986445496527,ER
6,9.389040369511662,4.09620080658666,4.615239163004526,16.0,95.009,24.185,2.644751501384244,2.8167808759594477,7.511327293135601,5.104491197846883,5.325259034116279,0,0,3.755552629681058,0.007993376640117738,0.8194361602301368,ER
1,2.565966399605249,69.33450348190655,18.191664058630224,16.0,16.082,12.497,0.7221392875403417,1.2924979515974648,1.523752311023028,35839.43349441742,212.61656271662468,1,1,0.8968443092849907,0.36736418621435585,0.9825310116418564,ER
3,3.2619244084233907,56.387732835394075,15.23294901884815,16.0,27.025,14.206,1.030042641588754,1.467648859745256,2.3709430622744665,627.1779690849834,40.74416019221531,0,0,1.3683418313085403,0.1905113089204384,0.9818029580329398,ER
5,2.9979885374051007,35.41200072665262,13.706480882730327,16.0,9.076,10.151,1.0810943421839472,1.7079671594454626,1.90471961482938,271.7499862092183,30.174120500798153,0,0,1.099334859536881,0.3060871168697879,0.9727182984301946,ER
2,3.5049933942984586,41.023266270537555,13.307652684659452,16.0,30.047,15.162,0.9627142321956337,1.658044605079004,2.5076174445131625,238.08625697456424,28.125642271368875,0,0,1.34903942144807,0.47951882832024406,0.9825905326547194,ER
4,2.3140567620643564,129.30612078260583,23.1865553199306,16.0,9.471,10.438,0.7348328238818108,1.2857382500344268,1.1798360953452032,476.93338418139274,46.57578271100893,0,0,0.6289070667261154,0.05197186666929188,0.9778258140364197,ER
6,18.936364619667764,41.38715230906209,27.30365340263791,28.0,33.642,18.917,4.228862243256882,6.698022382289649,37.738081255608655,230.66609383056777,97.28479110290664,1,1,7.435396815579689,7.448699150348726,0.9321344081624234,ER
3,12.179849076610756,398.94452599417906,62.84655776453077,28.0,30.483,21.171,5.3519898800631,7.183385111340284,21.664489051771575,3824.276523799805,295.894502626983,81,9,5.833529708519018,7.137985076149832,0.9766954799079349,ER
1,8.619202907496001,438.6166216621908,78.22752935858618,28.0,38.83,24.255,2.1062589729665477,4.136782344915662,13.303687783284714,116293.67650234289,968.0958762099855,25,5,3.849585206741643,5.806792487684314,0.9686581902438532,ER
5,12.914289585335325,104.8534324503186,41.709176230342955,28.0,38.112,21.437,4.317502540102688,6.566613977686157,24.853234459614466,2085.0673634974264,191.86733131549892,25,5,6.211502992939701,7.374058349096073,0.9873353153865668,ER
4,10.848754855412862,173.22690964702963,52.61226873720148,28.0,43.402,23.508,4.362026040592604,6.46745099604742,17.087039919748555,9206.071181774503,356.260573955796,49,7,5.158691164647182,6.116788180751377,0.9781369234735624,ER
2,12.625515704660373,158.66829072469494,47.110764356624856,28.0,47.697,24.925,3.4526416274029414,5.491938361161656,24.490441254960597,3185.530046162442,247.08869596180847,1,1,5.573554246818347,6.862646144433523,0.979984338820645,ER
6,20.5007252008005,9.890735677797052,11.816817868924836,24.0,62.701,24.234,5.055235690137885,5.027541988951253,19.618037116976797,20.825664104198353,20.402238596401613,0,0,20.5007252008005,1.5,0.8768676569288357,ER
5,7.647760649037364,165.2764079918586,38.509717518996936,24.0,20.939,16.694,0.8485364290121304,1.8798268603967285,7.001697436062719,838.0072806218551,91.38916560221583,0,0,7.647760649037364,1.5,0.9832533610354377,ER
2,8.100314851600109,110.05160903816741,35.185057026102335,24.0,25.965,18.046,2.6876542116767017,3.5957618317115028,7.342640203366894,1787.7316177247658,108.73158977978044,0,0,8.100314851600109,0.83495600381378,0.9726207098089084,ER
4,6.505666497519064,245.12634423215917,48.5632111039333,24.0,46.055,21.632,1.063256976951416,2.0823181325647604,6.018321274087202,1061.5542583529298,107.48912555486692,0,0,6.505666497519064,1.398851589411739,0.9849510111993355,ER
1,7.576768135400223,160.76802777611655,39.57397397632338,24.0,44.231,22.4,1.018769048590122,2.0648274330634044,6.580750409413705,7966.666700162184,163.3768482223863,0,0,7.576768135400223,1.3160081843985414,0.989520799802998,ER
3,4.983336394496265,359.2499244127664,60.40680315830291,24.0,23.876,16.636,0.3684524891272124,1.1989312693199672,4.498972302953516,2936.1389445442423,161.25542285084722,0,0,4.983336394496265,1.4675222240107413,0.985867705808724,ER
6,47.36345518415872,73.70190119863926,52.49346206281625,40.0,57.817,30.841,5.375807277338705,8.910968337712763,102.55836259133446,294.081368056615,170.21531818447477,1,1,22.539892488441666,13.360089429103311,0.9020171721960518,ER
3,22.936408989120082,760.6646631017807,136.1500533336798,40.0,50.083,32.393,5.340545761871937,8.357790588408905,37.92980417152728,726083.2569070949,1603.7672662804819,289,17,10.520560541305628,10.848514171868043,0.9762054536919329,ER
5,26.965521613515023,235.57422500737567,91.43029432441479,40.0,63.906,33.353,5.751414497613627,8.424588314540122,53.65670629718131,3544.421323610337,417.56789322633364,196,14,12.889705212973784,13.843487858214342,0.9915294762768663,ER
4,25.004356433620956,290.80623581912596,101.16416147093051,40.0,63.767,34.453,6.203250869480535,8.946316828806639,44.301009831276076,27507.675284500878,724.2430580144555,196,14,11.269013576060878,13.137028204521501,0.9779127842244579,ER
2,23.399644760746696,1401.9694515441465,161.00034125878895,40.0,53.901,32.861,5.778182685593661,7.924832467098353,40.27674294803414,213610.72992215163,1649.4678976175012,484,22,11.421044186506716,12.431586810944964,0.9897189494281853,ER
1,27.22230160291079,1266.3866328104814,138.21313381934485,40.0,51.595,33.366,5.850428824398579,8.059692824705015,50.25787623883926,351439.03494716965,1440.41940036296,81,9,12.736570831830372,13.355326760905493,0.9679415543267316,ER
6,36.459531967469076,24.10976054991039,24.423529072185474,32.0,75.854,31.241,11.969370757623278,12.296441557914443,81.23188604559873,158.7622536057651,90.57380590381916,9,3,13.117192844776964,10.373156044392909,0.9079530698968876,ER
1,16.025741909252865,444.71715542540034,79.1251111043656,32.0,43.421,26.283,6.01495153502191,7.976923154680688,28.50190391897697,15118.195543049978,558.5237757145916,144,12,5.590634933874041,7.125829735888572,0.9721120094014111,ER
3,14.046420868114906,286.09152819118515,72.66673862678783,32.0,43.773,26.407,3.3526855001483233,5.993300845859269,26.8547459159554,4884.250246788348,381.83223053651943,144,12,6.11548510317535,10.063814144831396,0.9844108015693629,ER
4,17.074752542323623,124.28978246293133,53.697688767787966,32.0,39.825,24.133,5.780877775385154,8.245349723613884,33.42681012116072,1414.3167545449305,252.13539602675866,289,17,6.765629913595426,10.306558652678108,0.9937202755146177,ER
5,15.0812184920564,165.22718798783222,62.14775640291821,32.0,55.718,28.348,4.614149235450775,7.3303245889607025,29.36890317960211,104698.60674291714,692.869406118125,49,7,6.951905094024717,9.932736715556512,0.9806170437732545,ER
2,14.865055909767925,399.07877121363884,79.48461418927428,32.0,34.898,24.475,5.626515862294156,7.904817475626485,23.592711727575587,27264.75652064499,666.4644540322129,324,18,6.76553876817065,7.643266653886864,0.9882454325951826,ER
6,15.388417873157081,4.999999878297553,6.8819095186013435,20.0,57.302,21.828,25.000000608512263,15.388417873157081,35.43604536461376,27.23606731456057,27.450779659436854,25,5,15.38841787315708,6.000000012840314,1.0,ER
2,6.940591437960964,45.46959398342724,17.77097783290958,20.0,19.18,14.337,5.328442971886686,6.940591437960964,15.294455308429226,2146.934960263153,116.28285237384192,9,3,6.940591437960963,5.935028300023004,0.9902846349173849,ER
3,5.458874987804293,202.90465443272103,30.208647516921467,20.0,18.973,14.606,3.590406168202951,5.458874987804293,11.154379224292697,1985.8031037520907,164.4657144898914,9,3,5.458874987804292,5.963472139979138,0.9799652128402037,ER
1,5.061685553501336,93.68142670820598,25.982839957615134,20.0,31.11,17.787,3.146861172130602,5.061685553501336,9.179052735257327,33579.18856829671,319.7175305747068,9,3,5.061685553501336,4.092443157911684,0.974327143391066,ER
5,6.64783416857746,31.465495561378614,16.775513043266702,20.0,32.991,17.168,4.8377630329936485,6.64783416857746,14.75698038977363,243.87232154254488,74.57113597833327,25,5,6.647834168577461,6.117310608487131,0.9904124925327292,ER
4,6.24187104439632,39.351056180632305,18.352222669924565,20.0,30.915,16.184,4.309267136780692,6.24187104439632,13.565446131094044,1136.45570940141,106.64878403128735,9,3,6.241871044396322,5.9791055599787315,0.9857906448939351,ER
6,24.645870777662473,22.3441926968309,20.403023351639483,28.0,44.496,22.711,7.299506544695249,7.94793455656132,43.20842335545408,75.81067599313644,54.36897507768275,4,2,3.914526910226584,4.971051126876634,0.9231691626305654,ER
2,12.097502718109089,243.54471997492942,54.56377807207526,28.0,32.292,21.136,3.447405841307779,4.762088823446561,17.165130701824786,7176.270146356656,306.14895839073,121,11,3.451180957383505,4.652692788625337,0.9691309410281558,ER
1,11.58535286239265,583.5454511646794,69.42742262935573,28.0,44.43,25.891,4.316456820168843,5.385134619310428,16.546860525312823,10330.543626414476,356.0193618089954,1,1,3.073719635786211,4.314951345509305,0.9670281227900679,ER
5,8.879981933174374,296.1963917053114,65.17846096253861,28.0,21.692,19.704,2.6322753199112765,4.5501325366400955,10.752350947306146,112355.86677645332,648.3535666146391,64,8,2.5879254940888425,4.207330408025964,0.989138925848542,ER
4,10.121589427605535,1959.975589368543,88.34100569656142,28.0,11.987,15.855,2.7678381713668516,4.823763477463865,14.337175905389234,26349.741878761335,483.9599943247399,25,5,2.6043770284399788,4.872934584842164,0.9883469432132352,ER
3,10.54053671577648,812.1439112436386,73.34611563382771,28.0,21.41,19.221,3.1621878348260526,4.885723506874897,13.850431286944305,4203.3156514404645,274.7117208437877,16,4,2.2325314038060453,2.770626944339748,0.994224256835673,ER
6,13.5242193078652,7.970136289738943,8.363582109438129,20.0,44.54,18.767,1.966832914139243,1.9833471274730374,5.83945455250919,7.188864365212165,6.40455304943388,0,0,2.6952270871820314,0.004874551539279404,0.8993816295516459,ER
5,4.8597898932755665,71.528284620456,24.483891155315995,20.0,14.11,13.776,0.3790411477369162,0.7853843238103954,2.2254268044423977,59.69529713602794,17.955374526407404,0,0,0.837090652890498,0.016797709219087353,0.9859498030656481,ER
3,5.005155171642607,82.52141400416815,25.304190810383858,20.0,65.461,24.241,0.9532102935702735,1.3325520687134218,1.4216660967124999,564.7058083089319,43.123809800948095,0,0,1.0717603996944425,0.015400706025986111,0.975927230194103,ER
1,6.019861239691104,38.46030549423357,18.519452716366754,20.0,23.659,14.29,1.4175461329484027,1.6796228580387882,1.9711364740710855,208735.10554451452,472.4385485474491,0,0,1.8880470049012834,0.12330013931226287,0.9886707011835915,ER
4,6.353164133674772,43.98959127235922,19.19004876010584,20.0,28.981,15.015,0.28171741472195333,0.7400534606153675,2.9900773709818975,38.99949518379398,14.219301138407234,0,0,2.116922545221664,0.16489745175722584,0.9703333114479838,ER
