score,node_distribution_unreversed,node_distribution,node_distribution_raw,distance_to_borderlines_unreversed,distance_to_borderlines,distance_to_borderlines_raw,edge_length_sum,edge_length_sum_raw,edge_node_distance_contribution_unreversed,edge_node_distance_contribution,edge_node_distance_contribution_raw,count_edge_crossings,count_edge_crossings_raw,communities_closeness,sum_of_angles,symmetry,category
5,15.0812184920564,165.22718798783222,62.14775640291821,32.0,55.718,28.348,4.902621345730519,7.88377332859955,35.566959536227266,2943.2179260753533,334.625490541111,64,8,7.337332770898438,13.816817114904955,0.9806170437732545,BA
2,14.865055909767925,399.07877121363884,79.48461418927428,32.0,34.898,24.475,6.155551539631174,8.676284816197917,28.504029195773796,28899.316251467226,702.9491170706584,400,20,7.593965368270876,11.062411091390537,0.9882454325951826,BA
6,46.01141959597746,71.85155107953506,52.0329224132403,40.0,48.349,28.924,15.975332600300167,19.25181691860551,146.00333148539036,1860.1151607711074,375.9775359939619,676,26,22.17518478550908,38.80560148695444,0.9265950771157626,BA
3,22.936408989120082,760.6646631017807,136.1500533336798,40.0,50.083,32.393,6.5090517614883465,11.427063034117513,65.76516481402265,800879.0654153484,2375.3198387402454,1681,41,11.784805954870246,35.39245437737967,0.9762054536919329,BA
5,26.965521613515023,235.57422500737567,91.43029432441479,40.0,63.906,33.353,10.066678474840884,15.024492153578015,84.7824862760529,805314.0183866594,1592.9284202898325,2401,49,13.223900855633255,38.78032019056192,0.9915294762768663,BA
4,25.004356433620956,290.80623581912596,101.16416147093051,40.0,63.767,34.453,7.209910496370434,12.365537549445817,77.23710802827753,110989.0113101414,1245.8730677980968,900,30,12.118578962859186,37.62130653873776,0.9779127842244579,BA
1,23.399644760746696,1401.9694515441465,161.00034125878895,40.0,53.901,32.861,9.985476875006826,13.985316355822935,64.49510832328565,479037.74036559113,2716.76963567257,1024,32,11.299237653380136,31.408426534040476,0.9897189494281853,BA
2,27.22230160291079,1266.3866328104814,138.21313381934485,40.0,51.595,33.366,11.656756647274504,15.452281431533128,78.96187787145826,1317659.6139943108,3140.6870366853755,1936,44,13.645451023332477,35.092107446531564,0.9679415543267316,BA
6,51.78758387788791,55.32064707427744,46.015825955842956,40.0,73.149,34.223,9.363949854436477,12.010512235559224,111.97282678120627,335.6092774073514,179.32044629293497,25,5,13.886152956315858,15.84092577804177,0.9147796081455177,BA
3,22.936408989120082,760.6646631017807,136.1500533336798,40.0,50.083,32.393,4.424817559508433,7.7449062387119385,41.27032299722108,16371.133513843797,830.5022792973998,36,6,6.342670995577551,12.518056228772512,0.9762054536919329,BA
5,26.965521613515023,235.57422500737567,91.43029432441479,40.0,63.906,33.353,5.003824692169033,8.229104205687953,59.392660013862994,802631.3676976116,1295.8164342256086,121,11,6.3506923327751785,15.523220079329356,0.9915294762768663,BA
4,25.004356433620956,290.80623581912596,101.16416147093051,40.0,63.767,34.453,6.5194609626450735,9.469074143296908,48.68025306738039,27747.177903103846,741.241767402059,324,18,6.058779626015994,15.598091072724442,0.9779127842244579,BA
1,23.399644760746696,1401.9694515441465,161.00034125878895,40.0,53.901,32.861,5.301278828487668,7.839430605392451,43.184166266952204,181445.84471042058,1493.527071495805,225,15,7.380049715951223,13.061929524487176,0.9897189494281853,BA
2,27.22230160291079,1266.3866328104814,138.21313381934485,40.0,51.595,33.366,7.017375579618758,9.133613040850337,55.45673584263206,1014590.1570205614,2013.1948435550025,64,8,8.250706689339905,11.470957007558303,0.9679415543267316,BA
6,86.2540378500997,337.3722848950563,164.1979345127857,60.0,45.45,36.449,1.8838545853814543,5.12709243220528,121.07057234615448,804.1016228338191,342.5971711737979,0,0,19.679126283635,11.95917833903735,0.943991217571253,BA
3,59.0872723715144,808.9884070251933,243.28572092067583,60.0,95.016,51.14,5.441305785449268,8.046545502446554,69.07304611416333,247347.75366758648,1648.2301071353263,144,12,13.12332243015246,11.466301630637503,0.981145265937566,BA
5,56.929411768430505,833.1788688623825,252.73804863640765,60.0,87.421,50.077,5.9072870613449755,8.407768022625586,67.32123749210538,32724.7109696722,1104.635673558001,256,16,13.471582087679227,11.624910747358141,0.9806245435865948,BA
2,59.65664931860241,3153.4632184003744,341.3216927697066,60.0,81.843,50.604,6.590185938362681,8.64885188325277,61.35528840773658,48528.76867935323,1524.5652543166825,289,17,14.878271434467933,10.43696913577515,0.9764235506512684,BA
1,47.83705323430457,3784.3977170580856,366.96244603936657,60.0,39.268,39.193,2.9722970235301016,5.58314287133338,53.637362796988384,276928.75528302987,1934.8246593213905,49,7,11.777402225358061,8.757077414653763,0.9810231786247335,BA
4,53.88782409867138,1388.3735072346385,288.0266687540405,60.0,53.348,41.806,3.5873057587491566,6.7036832326226,64.93914960717582,12142.955994444917,879.832048882595,121,11,12.826255416257483,10.687430824914648,0.9904719174285377,BA
6,28.26167578674582,46.39364348216431,33.0951552461168,32.0,59.236,26.07,1.810022662388191,3.557247582165286,33.927592708864196,93.48576640340525,59.26780432768083,0,0,3.269895820961197,2.898809277762841,0.9097199722697814,BA
1,16.025741909252865,444.71715542540034,79.1251111043656,32.0,43.421,26.283,2.5273797522072656,3.989441623604531,14.784799448408815,3481.3904496799146,259.9713604231492,16,4,2.162222080685627,1.7577455564872981,0.9721120094014111,BA
2,14.046420868114906,286.09152819118515,72.66673862678783,32.0,43.773,26.407,2.311335946230624,3.623225678883352,14.177631782429012,126881.27505844411,534.2683488110305,36,6,1.4012000801063074,2.9406531290433646,0.9844108015693629,BA
3,17.074752542323623,124.28978246293133,53.697688767787966,32.0,39.825,24.133,3.182351792861023,4.3700727413860925,18.823205597711866,1893.2539432160142,165.21911875348508,4,2,1.9091613739821618,2.6066888930613556,0.9937202755146177,BA
